to, a
of, de
and, y
in, en
I, yo
it, eso
for, para
not, no
with, con
he, él
as, como
you, tú
action, acción
at, en
but, pero
his, su
by, por
they, ellos
we, nosotros
signal, señal
she, ella
or, o
will, futuro
my, mi
one, uno
would, condicional
there, allí
their, su
what, qué
so, así
up, arriba
out, fuera
if, si
about, sobre
who, quién
item, objeto
which, cuál
place, lugar
me, me
when, cuándo
object, objeto
can, poder
like, gustar
time, tiempo
just, solo
him, lo
idea, idea
thing, cosa
people, gente
into, dentro
year, año
your, tu
good, bueno
some, algunos
could, podría
them, ellos
image, imagen
other, otro
than, que
then, entonces
now, ahora
look, mirada
only, solo
point, punto
its, su
over, sobre
think, pensamiento
also, también
back, atrás
after, después
tool, herramienta
two, dos
how, cómo
our, nuestro
work, trabajo
first, primero
well, bien
way, manera
even, incluso
new, nuevo
wish, deseo
because, porque
any, cualquiera
school, escuela
homework, tarea
teacher, profesor
student, estudiante
class, clase
lesson, lección
book, libro
pen, bolígrafo
pencil, lápiz
desk, escritorio
chair, silla
exam, examen
test, prueba
grade, calificación
learning, aprendizaje
page, página
note, nota
sound, sonido
voice, voz
question, pregunta
answer, respuesta
subject, materia
math, matemáticas
science, ciencia
history, historia
english, inglés
language, idioma
computer, computadora
internet, internet
project, proyecto
group, grupo
friend, amigo
family, familia
mother, madre
father, padre
brother, hermano
sister, hermana
food, comida
water, agua
breakfast, desayuno
lunch, almuerzo
dinner, cena
morning, mañana
afternoon, tarde
night, noche
today, hoy
tomorrow, mañana
yesterday, ayer
game, juego
music, música
movie, película
house, casa
room, habitación
door, puerta
window, ventana
street, calle
city, ciudad
country, país
world, mundo
job, trabajo
money, dinero
shop, tienda
market, mercado
gate, puerta
beginning, inicio
ending, fin
aid, ayuda
demand, necesidad
attempt, intento
path, camino
track, pista
seat, asiento
spot, lugar
meal, comida
cup, taza
bed, cama
alarm, alarma
happy, feliz
sad, triste
big, grande
small, pequeño
fast, rápido
slow, lento
hot, caliente
cold, frío
easy, fácil
difficult, difícil
important, importante
different, diferente
same, mismo
old, viejo
office, oficina
meeting, reunión
schedule, horario
plan, plan
result, resultado
example, ejemplo
reason, razón
decision, decisión
level, nivel
type, tipo
kind, tipo
area, área
value, valor
price, precio
cost, costo
product, producto
service, servicio
customer, cliente
user, usuario
account, cuenta
password, contraseña
email, correo
message, mensaje
phone, teléfono
number, número
address, dirección
map, mapa
trip, viaje
hotel, hotel
ticket, boleto
airport, aeropuerto
bus, autobús
train, tren
car, coche
road, carretera
traffic, tráfico
weather, clima
rain, lluvia
sun, sol
wind, viento
cloud, nube
season, estación
spring, primavera
summer, verano
autumn, otoño
winter, invierno
health, salud
doctor, doctor
nurse, enfermero
hospital, hospital
medicine, medicina
pain, dolor
energy, energía
exercise, ejercicio
sport, deporte
team, equipo
score, puntaje
rule, regla
goal, meta
process, proceso
step, paso
method, método
device, dispositivo
screen, pantalla
keyboard, teclado
mouse, ratón
file, archivo
folder, carpeta
link, enlace
site, sitio
query, búsqueda
option, opción
choice, elección
pact, acuerdo
conflict, conflicto
base, base
upgrade, mejora
limit, límite
growth, crecimiento
unit, unidad
match, comparación
report, informe
data, datos
fact, hecho
story, historia
news, noticias
media, medios
art, arte
design, diseño
color, color
shape, forma
size, tamaño
length, longitud
width, ancho
height, altura
weight, peso
speed, velocidad
